id,t,x,y,z
"19507239","0","-0.176333","0.0660338","0.0418814"
"19507240","1","-0.17215","0.0671734","0.0421913"
"19507241","2","-0.167912","0.0682477","0.0424436"
"19507242","3","-0.163471","0.0692139","0.042564"
"19507243","4","-0.158684","0.0700336","0.0424661"
"19507244","5","-0.153537","0.0706659","0.042041"
"19507245","6","-0.148171","0.0710628","0.0411866"
"19507246","7","-0.142788","0.0711655","0.0398538"
"19507247","8","-0.137572","0.0709141","0.0380471"
"19507248","9","-0.132632","0.0702619","0.0358033"
"19507249","10","-0.128","0.0691792","0.0331758"
"19507250","11","-0.123645","0.0676492","0.0302251"
"19507251","12","-0.119496","0.0656619","0.0270195"
"19507252","13","-0.115477","0.0632193","0.0236402"
"19507253","14","-0.111536","0.0603465","0.0201899"
"19507254","15","-0.10768","0.0571072","0.0168099"
"19507255","16","-0.104","0.0536251","0.0136979"
"19507256","17","-0.100639","0.0500544","0.0110726"
"19507257","18","-0.0976029","0.0464115","0.00900194"
"19507258","19","-0.0948059","0.0426548","0.00741278"
"19507259","20","-0.0921663","0.0387667","0.00618602"
"19507260","21","-0.0896392","0.0347738","0.00519456"
"19507261","22","-0.087216","0.0307391","0.00433199"
"19507262","23","-0.0849016","0.0267325","0.00351493"
"19507263","24","-0.0826923","0.0228087","0.00266475"
"19507264","25","-0.0805696","0.0189991","0.0016938"
"19507265","26","-0.0785028","0.0153132","0.000502235"
"19507266","27","-0.0764559","0.0117429","-0.00100605"
"19507267","28","-0.074403","0.00827006","-0.0028969"
"19507268","29","-0.0723418","0.00487718","-0.00518545"
"19507269","30","-0.070292","0.00155128","-0.0078478"
"19507270","31","-0.0682815","-0.00171229","-0.0108446"
"19507271","32","-0.0663401","-0.00490785","-0.0141352"
"19507272","33","-0.0644974","-0.00801367","-0.0176799"
"19507273","34","-0.0627913","-0.0109849","-0.0214092"
"19507274","35","-0.0612703","-0.0137525","-0.0252055"
"19507275","36","-0.0599896","-0.0162252","-0.0289102"
"19507276","37","-0.0589985","-0.018297","-0.0323495"
"19507277","38","-0.0583279","-0.019861","-0.035364"
"19507278","39","-0.057984","-0.0208278","-0.0378379"
"19507279","40","-0.0579471","-0.0211464","-0.0397052"
"19507280","41","-0.0581766","-0.0208122","-0.0409559"
"19507281","42","-0.0586332","-0.019855","-0.0416827"
"19507282","43","-0.0592711","-0.0183628","-0.0420785"
"19507283","44","-0.0600539","-0.0164426","-0.0423357"
"19507284","45","-0.0609606","-0.0142002","-0.0426028"
"19507285","46","-0.0619803","-0.0117354","-0.0429859"
"19507286","47","-0.0631066","-0.00914067","-0.0435606"
"19507287","48","-0.0643364","-0.00649998","-0.044383"
"19507288","49","-0.0656738","-0.00389092","-0.0454932"
"19507289","50","-0.0671325","-0.00138831","-0.0469136"
"19507290","51","-0.0687408","0.000930114","-0.0486446"
"19507291","52","-0.0705397","0.00297783","-0.0506587"
"19507292","53","-0.0725695","0.00465609","-0.0528982"
"19507293","54","-0.0748441","0.00585665","-0.0552629"
"19507294","55","-0.0773193","0.00647847","-0.0575996"
"19507295","56","-0.0798634","0.00645375","-0.0596889"
"19507296","57","-0.0822925","0.00574875","-0.0612762"
"19507297","58","-0.0845792","0.00429103","-0.0622339"
"19507298","59","-0.0867983","0.00202121","-0.0625795"
"19507299","60","-0.0890224","-0.00101301","-0.0624541"
"19507300","61","-0.0912957","-0.00469778","-0.062015"
"19507301","62","-0.0936114","-0.00883879","-0.0614047"
"19507302","63","-0.0958909","-0.0131205","-0.0607561"
"19507303","64","-0.0980314","-0.017191","-0.0601931"
"19507304","65","-0.100085","-0.0210059","-0.0598032"
"19507305","66","-0.102167","-0.0246713","-0.0596478"
"19507306","67","-0.104346","-0.0282454","-0.0597807"
"19507307","68","-0.106637","-0.031734","-0.060258"
"19507308","69","-0.109031","-0.0351119","-0.0611348"
"19507309","70","-0.111506","-0.0383421","-0.0624537"
"19507310","71","-0.114049","-0.0413885","-0.0642321"
"19507311","72","-0.116661","-0.0442224","-0.0664529"
"19507312","73","-0.119361","-0.0468241","-0.0690606"
"19507313","74","-0.12218","-0.0491792","-0.0719609"
"19507314","75","-0.125157","-0.0512714","-0.0750243"
"19507315","76","-0.128323","-0.053077","-0.0780942"
"19507316","77","-0.131691","-0.0545616","-0.080996"
"19507317","78","-0.135245","-0.0556812","-0.0835537"
"19507318","79","-0.138934","-0.0563886","-0.0856089"
"19507319","80","-0.142671","-0.0566424","-0.0870324"
"19507320","81","-0.146348","-0.056415","-0.0877301"
"19507321","82","-0.14984","-0.0556944","-0.0876503"
"19507322","83","-0.153035","-0.0544842","-0.0867912"
"19507323","84","-0.155849","-0.0528078","-0.0852052"
"19507324","85","-0.158236","-0.0507097","-0.0829909"
"19507325","86","-0.160195","-0.0482463","-0.0802659"
"19507326","87","-0.161732","-0.0454536","-0.077108"
"19507327","88","-0.162821","-0.042354","-0.0735291"
"19507328","89","-0.163421","-0.0389748","-0.069518"
"19507329","90","-0.163493","-0.0353536","-0.0650826"
"19507330","91","-0.163012","-0.031536","-0.0602731"
"19507331","92","-0.161971","-0.0275753","-0.0551985"
"19507332","94","-0.16039","-0.0235306","-0.0500144"
"19507333","95","-0.158324","-0.0194612","-0.0448598"
"19507334","96","-0.15587","-0.0154256","-0.039816"
"19507335","97","-0.153154","-0.0114849","-0.0349295"
"19507336","98","-0.150316","-0.00769902","-0.0302404"
"19507337","99","-0.147464","-0.00412051","-0.0258006"
"19507338","100","-0.14467","-0.000786645","-0.0216759"
"19507339","101","-0.14198","0.00228765","-0.0179443"
"19507340","102","-0.139421","0.00510969","-0.0146902"
"19507341","103","-0.137009","0.00770319","-0.0119944"
"19507342","104","-0.134753","0.0100994","-0.00992577"
"19507343","105","-0.132658","0.0123276","-0.00853203"
"19507344","106","-0.130728","0.0144115","-0.00783517"
"19507345","107","-0.128973","0.0163666","-0.00783334"
"19507346","108","-0.127405","0.0181996","-0.00850365"
"19507347","109","-0.12604","0.0199107","-0.00980952"
"19507348","110","-0.124907","0.0214967","-0.0116966"
"19507349","111","-0.124043","0.022947","-0.0140616"
"19507350","112","-0.123494","0.0242446","-0.0167582"
"19507351","113","-0.123305","0.0253669","-0.0196306"
"19507352","114","-0.123512","0.0262846","-0.0225506"
"19507353","115","-0.124143","0.0269635","-0.0254184"
"19507354","116","-0.125212","0.0273697","-0.0281615"
"19507355","117","-0.126719","0.027473","-0.0307323"
"19507356","118","-0.128647","0.027256","-0.0331043"
"19507357","119","-0.130963","0.0267219","-0.035263"
"19507358","120","-0.13363","0.0258958","-0.0372048"
"19507359","121","-0.136617","0.0248185","-0.0389342"
"19507360","122","-0.139902","0.0235465","-0.0404614"
"19507361","123","-0.143486","0.0221523","-0.0417879"
"19507362","124","-0.14738","0.0207139","-0.0428963"
"19507363","125","-0.151592","0.0193092","-0.0437298"
"19507364","126","-0.156082","0.0180112","-0.044181"
"19507365","127","-0.16068","0.0168972","-0.0441418"
"19507366","128","-0.165026","0.0160458","-0.0435883"
"19507367","129","-0.168691","0.0155144","-0.0425939"
"19507368","130","-0.171739","0.0152598","-0.041135"
"19507369","131","-0.174437","0.0151685","-0.0390618"
"19507370","132","-0.177008","0.0150691","-0.0362222"
"19507371","133","-0.179523","0.0147514","-0.0326155"
"19507372","134","-0.181984","0.0140922","-0.0284485"
"19507373","135","-0.184388","0.0131091","-0.0241412"
"19507374","136","-0.186671","0.0117985","-0.0199809"
"19507375","137","-0.18874","0.0101424","-0.0161392"
"19507376","138","-0.190487","0.00811548","-0.0126844"
"19507377","139","-0.19181","0.00569699","-0.00959905"
"19507378","140","-0.192629","0.00288123","-0.00680941"
"19507379","141","-0.192893","-0.000319772","-0.00421516"
"19507380","142","-0.192581","-0.00387325","-0.00171323"
"19507381","143","-0.191718","-0.0077008","0.000768155"
"19507382","144","-0.190349","-0.0117068","0.00325896"
"19507383","145","-0.188546","-0.0157717","0.00571827"
"19507384","146","-0.18639","-0.0197868","0.00806524"
"19507385","147","-0.183971","-0.0236491","0.0101743"
"19507386","148","-0.181379","-0.0272882","0.011917"
"19507387","149","-0.1787","-0.0306692","0.0131835"
"19507388","150","-0.176013","-0.03379","0.013897"
"19507389","151","-0.173397","-0.0366625","0.0140033"
"19507390","152","-0.17091","-0.039296","0.0134774"
"19507391","153","-0.168605","-0.0416873","0.0123333"
"19507392","154","-0.166535","-0.0438243","0.0106313"
"19507393","155","-0.164754","-0.045692","0.00848129"
"19507394","156","-0.163314","-0.0472734","0.0060306"
"19507395","157","-0.162254","-0.0485458","0.00344061"
"19507396","158","-0.161603","-0.0494794","0.000864831"
"19507397","159","-0.161369","-0.050046","-0.00156759"
"19507398","160","-0.161538","-0.0502285","-0.00376462"
"19507399","161","-0.162081","-0.0500242","-0.00567906"
"19507400","162","-0.162951","-0.0494431","-0.00731395"
"19507401","163","-0.164091","-0.0485082","-0.00871744"
"19507402","164","-0.165442","-0.0472513","-0.00997061"
"19507403","165","-0.166947","-0.045714","-0.0111705"
"19507404","166","-0.168548","-0.0439515","-0.012413"
"19507405","167","-0.170186","-0.0420486","-0.013787"
"19507406","168","-0.1718","-0.0401152","-0.015363"
"19507407","169","-0.173349","-0.0382539","-0.0171941"
"19507408","170","-0.174866","-0.0364766","-0.0193553"
"19507409","171","-0.17643","-0.034746","-0.021918"
"19507410","172","-0.178101","-0.0330409","-0.024877"
"19507411","173","-0.179921","-0.0313574","-0.0281795"
"19507412","174","-0.181927","-0.0297085","-0.0317397"
"19507413","175","-0.184142","-0.0281564","-0.0353851"
"19507414","176","-0.186595","-0.0267684","-0.0389431"
"19507415","177","-0.189334","-0.0255805","-0.0423128"
"19507416","178","-0.192412","-0.0246064","-0.0454494"
"19507417","179","-0.195868","-0.0238471","-0.0483394"
"19507418","180","-0.199716","-0.0232929","-0.0509861"
"19507419","181","-0.203943","-0.0229208","-0.0534004"
"19507420","182","-0.208514","-0.0226909","-0.0555978"
"19507421","183","-0.213375","-0.0225498","-0.0575982"
"19507422","184","-0.218462","-0.0224419","-0.0594292"
"19507423","185","-0.223707","-0.0223236","-0.0611284"
"19507424","186","-0.229042","-0.0221745","-0.0627436"
"19507425","187","-0.234412","-0.0220012","-0.064322"
